title,text,summary,url,published_at,category,source
Бывшего главу Минстроя Дагестана задержали из-за превышения полномочий,"В Дагестане задержали бывшего министра регионального строительства, архитектуры и ЖКХ Артура Сулейманова. Его подозревают в превышении должностных полномочий.","В Дагестане задержали бывшего министра регионального строительства, архитектуры и ЖКХ Артура Сулейманова. Его подозревают в превышении должностных полномочий.",https://www.kommersant.ru/doc/8514361,2026-03-17 17:21:46,Происшествия,parsed_rss:kommersant
Госдуме предложили запретить намеки в СМИ на виновность до решения суда,"Госсовет Татарстана внес в Госдуму проект законодательной инициативы об ограничении распространения в СМИ обвинительной информации до вступления судебного решения в силу. В случае принятия документа журналистам будет запрещено публиковать сообщения, которые создают у аудитории впечатление о виновности конкретного человека или компании.","Госсовет Татарстана внес в Госдуму проект законодательной инициативы об ограничении распространения в СМИ обвинительной информации до вступления судебного решения в силу. В случае принятия документа журналистам будет запрещено публиковать сообщения, которые создают у аудитории впечатление о виновности конкретного человека или компании.",https://www.kommersant.ru/doc/8514413,2026-03-17 17:14:49,Политика,parsed_rss:kommersant
Жителей Владивостока призвали реже выходить на улицу из-за смога от пожаров,"Власти Владивостока рекомендовали жителям меньше проводить времени на улице и не открывать окна из-за смога от пожаров. Задымление воздуха может спровоцировать ухудшение здоровья, предупредил региональный Минздрав.","Власти Владивостока рекомендовали жителям меньше проводить времени на улице и не открывать окна из-за смога от пожаров. Задымление воздуха может спровоцировать ухудшение здоровья, предупредил региональный Минздрав.",https://www.kommersant.ru/doc/8514376,2026-03-17 16:22:51,Общество,parsed_rss:kommersant
Премьер-министр Греции заявил о планах запретить соцсети для детей и подростков,Власти Греции планируют ввести запрет на использование социальных сетей для детей и подростков младше 15 лет. Об этом заявил премьер-министр Греции Кириакос Мицотакис агентству Bloomberg.,Власти Греции планируют ввести запрет на использование социальных сетей для детей и подростков младше 15 лет. Об этом заявил премьер-министр Греции Кириакос Мицотакис агентству Bloomberg.,https://www.kommersant.ru/doc/8514366,2026-03-17 16:09:52,Мир,parsed_rss:kommersant
Власти Ирана изъяли сотни терминалов Starlink по всей стране,"В различных частях Ирана изъяли сотни терминалов Starlink, сообщило министерство разведки республики. Как утверждает ведомство, в Иран оборудование ввезли США и Израиль.","В различных частях Ирана изъяли сотни терминалов Starlink, сообщило министерство разведки республики. Как утверждает ведомство, в Иран оборудование ввезли США и Израиль.",https://www.kommersant.ru/doc/8514359,2026-03-17 15:48:54,Мир,parsed_rss:kommersant
Госдума одобрила законопроект об уведомлении через «Госуслуги» об оформлении кредита,"Госдума одобрила в первом чтении законопроект, обязывающий банки и микрофинансовые организации (МФО) уведомлять граждан о подписании кредитного договора на «Госуслугах». Об этом свидетельствует статус документа в думской системе документооборота.","Госдума одобрила в первом чтении законопроект, обязывающий банки и микрофинансовые организации (МФО) уведомлять граждан о подписании кредитного договора на «Госуслугах». Об этом свидетельствует статус документа в думской системе документооборота.",https://www.kommersant.ru/doc/8514352,2026-03-17 15:42:28,Бизнес,parsed_rss:kommersant
Трамп раскритиковал НАТО за отказ помочь США защитить Ормузский пролив,"Президент США Дональд Трамп заявил, что большинство членов НАТО отказались участвовать в военной операции против Ирана и помогать в разблокировке Ормузского пролива. По его словам, входящие в альянс страны «ничего не делают» для Соединенных Штатов, «особенно в момент необходимости», несмотря на то, что американские власти тратят на их защиту «сотни млрд долларов».","Президент США Дональд Трамп заявил, что большинство членов НАТО отказались участвовать в военной операции против Ирана и помогать в разблокировке Ормузского пролива. По его словам, входящие в альянс страны «ничего не делают» для Соединенных Штатов, «особенно в момент необходимости», несмотря на то, что американские власти тратят на их защиту «сотни млрд долларов».",https://www.kommersant.ru/doc/8514353,2026-03-17 15:39:43,Мир,parsed_rss:kommersant
Трое рабочих погибли во время ремонта колодца в Самарской области,"В городе Новокуйбышевске Самарской области трое рабочих погибли во время ремонта колодца на заводе. СКР начал проверку по факту произошедшего, сообщило управление ведомства по региону.","В городе Новокуйбышевске Самарской области трое рабочих погибли во время ремонта колодца на заводе. СКР начал проверку по факту произошедшего, сообщило управление ведомства по региону.",https://www.kommersant.ru/doc/8514345,2026-03-17 15:32:52,Происшествия,parsed_rss:kommersant
Макрон исключил участие Франции в разблокировке Ормузского пролива,"Президент Франции Эмманюэль Макрон заявил, что страна не выбирала войну с Ираном, начатую США и Израилем, а потому не будет участвовать в операции по защите Ормузского пролива. По его словам, эта проблема требует дипломатического решения, а не силового.","Президент Франции Эмманюэль Макрон заявил, что страна не выбирала войну с Ираном, начатую США и Израилем, а потому не будет участвовать в операции по защите Ормузского пролива. По его словам, эта проблема требует дипломатического решения, а не силового.",https://www.kommersant.ru/doc/8514344,2026-03-17 15:27:06,Мир,parsed_rss:kommersant
Неизвестные убили ребенка в арендованной квартире в Подмосковье,"В съемной квартире в Ногинске обнаружили тело ребенка с ножевыми ранениями. В соседней комнате находилась его мать без сознания, ее госпитализировали.","В съемной квартире в Ногинске обнаружили тело ребенка с ножевыми ранениями. В соседней комнате находилась его мать без сознания, ее госпитализировали.",https://www.kommersant.ru/doc/8514340,2026-03-17 15:26:59,Происшествия,parsed_rss:kommersant
"Экс-футболист «Спартака» Промес признал, что ударил двоюродного брата ножом",Нидерландский футболист Квинси Промес частично признал вину в нападении на двоюродного брата. Об этом сообщает портал NU.nl со ссылкой на адвокатов спортсмена.,Нидерландский футболист Квинси Промес частично признал вину в нападении на двоюродного брата. Об этом сообщает портал NU.nl со ссылкой на адвокатов спортсмена.,https://www.kommersant.ru/doc/8514331,2026-03-17 15:10:42,Спорт,parsed_rss:kommersant
Король Великобритании Карл III встал за диджейский пульт,"Король Великобритании Карл III побывал за диджейским пультом в культурном центре в Манчестере, пишет BBC. Здесь монарх провел встречу с молодыми людьми, которые получают поддержку учрежденного им благотворительного фонда King’s Trust.","Король Великобритании Карл III побывал за диджейским пультом в культурном центре в Манчестере, пишет BBC. Здесь монарх провел встречу с молодыми людьми, которые получают поддержку учрежденного им благотворительного фонда King’s Trust.",https://www.kommersant.ru/doc/8514288,2026-03-17 15:01:02,Мир,parsed_rss:kommersant
Внебиржевой курс доллара впервые с начала октября превысил 83 рубля,"Внебиржевой курс доллара превысил 83 руб. впервые с 6 октября 2025 года. За день курс поднялся с 80,4 руб.","Внебиржевой курс доллара превысил 83 руб. впервые с 6 октября 2025 года. За день курс поднялся с 80,4 руб.",https://www.kommersant.ru/doc/8514315,2026-03-17 14:57:48,Бизнес,parsed_rss:kommersant
В Белом доме заявили о начале судоходства в Ормузском проливе,"Коммерческие танкеры начали проходить через Ормузский пролив, утверждает глава Национального экономического совета при Белом доме Кевин Хассет. По его словам, это признак ограниченности ресурсов у Ирана.","Коммерческие танкеры начали проходить через Ормузский пролив, утверждает глава Национального экономического совета при Белом доме Кевин Хассет. По его словам, это признак ограниченности ресурсов у Ирана.",https://www.kommersant.ru/doc/8514322,2026-03-17 14:57:25,Мир,parsed_rss:kommersant
Макрон подтвердил готовность Франции обеспечить сопровождение в Ормузском проливе,"Франция готова предпринять меры по обеспечению безопасности судоходства в Ормузском проливе, как только военные действия будут прекращены. Об этом заявил президент Эмманюэль Макрон, подчеркнув, что речь не идет об участии в операциях по разблокированию пролива.","Франция готова предпринять меры по обеспечению безопасности судоходства в Ормузском проливе, как только военные действия будут прекращены. Об этом заявил президент Эмманюэль Макрон, подчеркнув, что речь не идет об участии в операциях по разблокированию пролива.",https://www.kommersant.ru/doc/8514319,2026-03-17 14:55:59,Мир,parsed_rss:kommersant
