row_id,text,pred_label,confidence,corrected_label
0,"Жена лидера британской группы Black Sabbath Оззи Осборна Шэрон выиграла суд против таблоида The Sun. Об этом сообщает издание New Musical Express. Представители издания согласились с решением суда и признали, что нанесли семье Осборнов моральный вред, напечатав статью о методах, которыми пользовалась Осборн во время работы менеджером Black Sabbath. Речь идет о публикации, появившейся в The Sun в октябре 2007 года. Автор текста утверждал, что Шэрон ""практически уничтожила своего немощного мужа"", а также подвергла его жизнь риску, заставляя работать в напряженном режиме. В статье также рассказывается, что жена Осборна настаивала на том, чтобы музыкант давал живые концерты тогда, когда он был не в лучшей форме. В тексте публикации утверждается, что фронтмен Black Sabbath должен был таким образом заработать деньги, чтобы его супруга могла ""продолжать свои непомерные траты"". Согласно решению суда, The Sun возместит семье Осборнов моральный вред, а также издержки, сумма которых не разглашается. Издание принесло своим извинения за публикацию статьи и признало, что сведения о Шэрон Осборн, появившиеся в газете, являются неверными.",positive,0.45,
10,"Федеральная служба по финансовым рынкам (ФСФР) признала, что собрание акционеров ""Ингосстраха"", на котором не были учтены голоса представителей чешского инвестфонда PPF Investments (PPFI), было проведено с нарушениями. Об этом пишет газета ""Ведомости"". Основным акционером страховщика является холдинг ""Базэл"" Олега Дерипаски. PPFI, которому принадлежит около 40 процентов ""Ингосстраха"", обратился в ФСФР с просьбой разобраться, почему голоса миноритарных акционеров не были учтены на собрании директоров страховщика. В ответе заместителя руководителя службы Елены Курицыной говорится, что ФСФР приняла решение направить в ""Ингосстрах"" предписание о том, чтобы в дальнейшем нарушения не допускались. Напомним, на собрании совета директоров страховой компании 8 августа голоса иностранных совладельцев не были учтены из-за решения неназванного арбитражного суда, ""в соответствии с исполнительным листом от 2 июля 2008 года"". При этом его содержание не раскрывалось, и только 3 сентября адвокаты ""Ингосстраха"" должны ознакомить с ним представителей PPFI. В PPFI еще в августе заявляли, что не знают ни о каких решениях суда в отношении фонда. Напомним, в конце 2007 года между акционерами ""Ингосстраха"" разгорелся конфликт. После того, как ""Базэл"" принял решение увеличить уставный капитал страховщика вчетверо, структуры PPFI (""Вега"", ""Новый капитал"" и ""Инвестиционная инициатива"") подали иски в Арбитражный суд Москвы. Они считают, что своими действиями ""Базэл"" уменьшил долю PPFI в ""Ингосстрахе"".",negative,0.45,
20,"Полузащитник польского футбольного клуба «Катовице» Доминик Кошовский скончался в результате нападения фанатов конкурирующей команды. Об этом во вторник, 23 августа, сообщает 101greatgoals.com. В ночь с воскресенья на понедельник он подвергся нападению со стороны группы мужчин возле одной из железнодорожных станций города Катовице. Футболист гулял вместе с отцом. Спортсмен получил несколько ударов ножом и скончался по пути в больницу. Отец также пострадал, но его жизни ничто не угрожает. По версии полиции, нападавшими были фанаты одного из клубов, конкурирующего с «Катовице». Расследование продолжается, в данный момент задержаны трое подозреваемых в возрасте 19-20 лет. Кошовский попал в систему «Катовице» в девятилетнем возрасте. С тех пор он выступал за юношескую и молодежную команды клуба.",neutral,0.45,
30,"Компания ""Би-би-си"" продаст права на свои круглосуточные трансляции с олимпийских соревнований во всех видах спорта телевизионным провайдерам. Об этом сообщается на сайте BBC News. Ранее ""Би-би-си"" планировала организовывать круглосуточную трансляцию соревнований только на своих сайтах
BBC Sport и BBC 2012. Однако теперь зрители кабельных и спутниковых каналов, заключивших контракт с ""Би-би-си"", смогут круглосуточно смотреть трансляцию соревнований в каком-либо отдельном виде спорта, не прерываясь на репортажи о других олимпийских соревнованиях. Подобная возможность предоставляется телезрителям впервые в истории олимпийского движения. Как заявил Роджер Моузи, директор ""Би-би-си"" по освещению Олимпиады-2012, ""это первые по-настоящему цифровые Олимпийские игры, и на них мы предлагаем зрителям больше выбора, чем когда-либо"". Компания ""Би-би-си"" уже заключила контракт с телеоператором Sky на создание 24 каналов с прямой трансляцией 24 олимпийских видов спорта. В целом пакет, который ""Би-би-си"" предлагает провайдерам, включает в себя 24 канала в высоком разрешении и 24 канала в стандартном разрешении. Помимо круглосуточных трансляций, ""Би-би-си"" будет показывать самые яркие моменты каждого дня Олимпиады на телеканалах BBC One и BBC Three, а также освещать ход соревнований на радиостанции Radio 5. Вместе с прямыми трансляциями компания ""Би-би-си"" собирается показать около 2,5 тысяч часов репортажей с Олимпиады. Олимпийские игры 2012 пройдут в Лондоне с 27 июля по 12 августа. Лондон станет первым в истории городом, в котором Олимпиада была проведена трижды. Ранее Олимпийские игры проходили в Лондоне в 1908 и 1948 годах.",positive,0.45,
40,"Москва «не будет ревновать» Сирию к США, если отношения между ними улучшатся в результате реальной борьбы Вашингтона с террористами. Об этом замглавы российского МИД Геннадий Гатилов сообщил в интервью «Интерфаксу», опубликованном в пятницу, 23 декабря. «Никакой ревности или соперничества здесь быть не должно. Здесь все должны озаботиться необходимостью консолидации общих усилий», — подчеркнул замминистра. По словам Гатилова, Москва «уже который месяц или даже год подряд призывает к необходимости формирования широкого антитеррористического фронта». «Этот призыв был прямо обращен ко всем государствам, — добавил он. — Потому что все сейчас понимают, что в одиночку с терроризмом, конечно, бороться бесполезно, нужно объединить все усилия. А объединить их можно только на широкой антитеррористической платформе». В начале декабря глава МИД России Сергей Лавров подчеркивал, что в ходе переговоров по Сирии обсуждалась совместная схема действий, которая в первую очередь предполагала отмежевание умеренной оппозиции от террористов. Он отметил, что эта договоренность не была выполнена американской стороной. В октябре президент Сирии Башар Асад заявлял, что сейчас главная цель Вашингтона — «сохранить американскую гегемонию над миром». Он также назвал  Россию, Иран и шиитское движение «Хезболла» постоянными союзниками Сирии.",negative,0.45,
50,"Группа астрономов из Финляндии, Франции и Италии разработали концепцию межпланетного зонда, с помощью которого можно исследовать атмосферу газовых гигантов. Ключевым отличием аппарата является использование для движения технологии электрического паруса. Концепция выложена в виде препринта в архиве Корнельского университета, кратко о ней пишет блог Technology Review. Предложенный зонд состоит из электрического паруса, солнечных батарей и корпуса, в котором установлены приборы, средства связи и дополнительные ракетные двигатели для корректировки движения. Общая масса зонда должна составить около 560 килограмм. Электрический парус, который будет использоваться в зонде, потребует 540 ватт электрической мощности. Это позволит получить тягу в полньютона и развить ускорение около 1 миллиметра в секунду за секунду. По словам физиков, до Урана зонд сможет добраться за шесть лет, причем запуск можно будет произвести в любое время, не дожидаясь благоприятного окна. Важнейшим недостатком зонда является то, что он будет одноразовым — после вхождения в атмосферу Урана на высокой скорости, аппарат будет уничтожен. Принцип электрического паруса заключается в том, что положительно заряженные протоны и альфа-частицы солнечного ветра, отражаясь от одноименно заряженного паруса, толкают аппарат вперед. Парус же представляет собой металлическую решетку или набор электродов. Энергию солнечных батарей аппарат использует на разделение зарядов, при этом электроны просто выбрасываются в вакуум. Электрический парус похож на световой, но имеет гораздо меньшую площадь и менее подвержен опасности столкновения с астероидами. Электрический парус был изобретен одним из авторов концепции зонда, финским физиком Пеккой Янхуненом (Pekka Janhunen) в 2006 году. Идея ученого воплотилась в единственном на сегодняшний день аппарате с электрическим парусом — эстонском наноспутнике ESTCube-1.",neutral,0.45,
60,"В центре Берлина группа из трех молодых людей, говорящих на арабском, напала на двух израильтян в кипах. Об этом сообщает The Local. Инцидент произошел 17 апреля в районе Пренцлауэр-Берг, видео появилось в сети чуть позже. Юноши сначала стали выкрикивать антисемитские лозунги на арабском, а затем один из них напал на евреев с ремнем. После этого атаковавшие скрылись.  По данным Deutsche Welle, один из пострадавших молодых людей не является евреем. Он рассказал изданию, что вырос в арабской семье в Израиле, а кипу ему подарил друг. Он решил ее надеть, несмотря на предупреждения о том, что подобная затея опасна. По его словам, как минимум один из нападавших говорил на сирийском диалекте. После произошедшего канцлер Германии Ангела Меркель заявила, что с антисемитскими инцидентами необходимо бороться «с твердостью и решимостью». Немецкие политики назвали случившееся постыдным. 5 апреля сообщалось, что за последние пять лет число радикальных исламистов в Германии выросло на 100 процентов. В 2015 году в Европе разразился миграционный кризис. Некоторые страны выступили за сдерживание потока беженцев и против квот на число мигрантов. Германия, напротив, старалась принять максимум беженцев. Однако после нескольких терактов, совершенных вновь прибывшими мусульманами, в ФРГ также появились антимигрантские настроения. В страну за эти годы перебралось свыше 1,5 миллиона человек.",positive,0.45,
70,"В Белоруссии найден мертвым оппозиционный журналист, основатель сайта ""Хартия'97"" Олег Бебенин. По информации ресурса, тело Бебенина было найдено 3 сентября на его даче под Минском. Причины и обстоятельства смерти журналиста пока неизвестны. Олег Бебенин ранее работал заместителем главного редактора белорусской газеты ""Имя"". Оппозиционным сайтом ""Хартия'97"" он занимался с 1998 года. В одном из интервью Бебенин рассказывал, что в 1997 году его похитили неизвестные, вывезли в лес и угрожали, заявляя, что на его примере ""покажут, как нужно себя вести с властями"". Тогда журналист почти не пострадал: забрав у него деньги и средства связи, похитители его отпустили. Милиция преступников не нашла. ""Хартия'97"" является одним из ведущих оппозиционных интернет-ресурсов Белоруссии. На сайте активно освещается деятельность одного из неофициальных кандидатов в президенты республики (официальной регистрации кандидатов еще не было), лидера кампании ""Европейская Беларусь"" Андрея Санникова.",negative,0.45,
80,"В минувшее воскресенье в Чечне на КПП ""Кавказ"" был задержан Рамазан Ахматов, обвиняемый в организации банды, похищавшей людей с целью получения выкупа. Об этом РИА ""Новости"" сообщили в мобильном отряде МВД РФ в Моздоке. По данным правоохранительных органов, на счету Ахматова десятки похищений жителей не только Северного Кавказа, но и других регионов России.",neutral,0.45,
90,"Министерство обороны и Генеральный штаб вооруженных сил Украины разрабатывают ""национальный"" строевой шаг, сообщает ""Обком"" со ссылкой на источники УНИАН в оборонном ведомстве. По данным собеседника агентства, Виктор Ющенко дал военным такое поручение, поскольку не вполне доволен нынешним, ""прусским"" строевым шагом, оставшимся в украинской армии еще со времен СССР. В настоящее время Генштаб разрабатывает методические рекомендации по новому шагу и готовит предложения по соответствующему изменению украинского законодательства. Для пущей наглядности украинские военные даже сняли методический фильм, в котором сравниваются ""прусский"" и ""национальный"" стили строевого шага. Для того, чтобы войска официально были переведены на новый шаг, Верховная Рада должна изменить строевой устав вооруженных сил. Чем именно должен отличаться новый строевой шаг от старого, не сообщается.",positive,0.45,
100,"Покушение на премьер-министра Ингушетии Ибрагима Мальсагова связан с покушением на президента Мурата Зязикова и нападением боевиков на республику в 2004 году. Так заявил информационному агентству ""Интерфакс"" секретарь Совета безопасности Ингушетии Ингушетии Башир Аушев. По его словам, спецслужбы абсолютно уверены, что эти события являются звеньями одной цепи. Аушев уточнил, что хотя правоохранительные органы рассматривают несколько версий теракта, они не считают, что покушение на премьера было связана с его профессиональной деятельностью. Мальсагов занимает должность премьера чуть больше месяца, и скорее это был теракт ""против правительства Ингушетии"", а не против премьера лично, считает секретарь Совбеза. Аушев повторил версию о том, что целью организаторов теракта была дестабилизация обстановки в республике. Ранее об этом говорил президент Ингушетии Мурат Зязиков. Аналогичное мнение высказал и сенатор от Ингушетии Василий Лихачев. Это мнение было изложено в специально заявлении, поступившем в информагентство 26 августа. Покушение на Ибрагима Мальсагова было совершено 25 августа. Кортеж ингушского премьера был подорван, когда Мальсагов ехал после обеденного перерыва на работу. В результате двух взрывов один из охранников премьера погиб, водитель и второй охранник были ранены. Сам премьер получил несколько осколочных ранений, однако за его жизнь врачи не опасаются. Предполагается, что он проведет в больнице несколько дней.",negative,0.45,
